application_id,age,gender,education,marital_status,dependents,employment_type,employment_length_years,occupation,annual_income,monthly_income,credit_score,existing_loans,total_existing_debt,credit_history_length_years,num_credit_inquiries_6m,delinquent_accounts,loan_amount,loan_term_months,loan_purpose,interest_rate,debt_to_income_ratio,loan_to_income_ratio,monthly_payment,payment_to_income_ratio,property_value,property_type,bank_customer_years,savings_account_balance,checking_account_balance,loan_default
21068,38,Male,High School,Single,2,Salaried,1.5,Service,54812.64,4567.72,654,1,200000.0,9.5,0,0,13761.07,60,Debt Consolidation,21.0,2.0,0.251,372.28,0.082,307088.49,Apartment,1.2,768.02,2256.9,0
21069,22,Male,Bachelor,Single,1,Self-Employed,6.8,Sales,20000.0,1666.67,783,3,9202.31,5.8,1,0,38220.55,36,Debt Consolidation,20.84,0.46,1.911,1436.82,0.862,210123.91,House,5.5,26566.86,184.08,0
21070,42,Female,Bachelor,Married,0,Salaried,13.3,Other,22005.66,1833.8,630,1,266.21,3.7,0,0,15339.75,48,Education,19.21,0.012,0.697,460.36,0.251,162722.87,None,3.7,100000.0,1260.17,0
21071,32,Female,Bachelor,Single,2,Self-Employed,7.4,Other,57934.54,4827.88,606,1,8018.08,6.2,2,0,21016.05,48,Business,23.9,0.138,0.363,684.0,0.142,240647.71,Condo,2.4,16184.53,2242.56,0
21072,21,M,Bachelor,Married,0,Salaried,5.1,Manager,50168.16,4180.68,768,1,403.3,3.0,2,1,12136.96,36,Debt Consolidation,20.7,0.008,0.242,455.39,0.109,370973.46,Apartment,17.5,15843.98,8339.98,0
21073,29,Female,Bachelor,Married,2,Salaried,8.6,Manager,115897.89,9658.16,550,1,3350.3,8.7,2,0,10059.97,36,Debt Consolidation,19.73,0.029,0.087,372.48,0.039,,House,2.7,9100.14,1170.03,0
21074,33,Female,Bachelor,Married,1,Self-Employed,0.9,Technician,65033.94,5419.5,646,0,4507.84,4.3,1,0,25891.82,48,Business,22.92,0.069,0.398,828.74,0.153,71226.66,Apartment,9.7,,2911.06,0
21075,47,M,Bachelor,Single,1,Salaried,0.0,Clerical,54202.26,4516.86,674,1,12478.14,6.8,1,0,12059.36,24,Debt Consolidation,22.69,0.23,0.222,629.73,0.139,112985.31,Condo,5.6,248.17,236.03,0
21076,25,Male,Master,Married,3,Salaried,4.7,Professional,157468.21,13122.35,520,0,880.37,,1,0,21087.37,36,Education,15.32,0.006,0.134,734.31,0.056,162430.85,Condo,13.8,6594.64,12937.4,0
21077,51,Male,masters,Single,1,Self-Employed,0.8,Manager,72090.69,6007.56,597,1,13488.07,1.0,0,0,16988.4,60,Medical,22.02,0.187,0.236,469.39,0.078,94254.2,Condo,4.8,61124.63,416.86,0
21078,32,Male,Bachelor,Single,1,Salaried,3.9,Service,37745.19,3145.43,563,0,1900.82,4.5,1,1,5736.59,36,Debt Consolidation,12.9,0.05,0.152,193.01,0.061,265755.53,Apartment,4.9,1108.71,7091.2,0
21079,53,Male,High School,Married,3,Salaried,1.5,Professional,30419.9,2534.99,624,0,6736.43,3.6,0,1,12569.42,36,Business,20.17,0.221,0.413,468.21,0.185,305237.87,None,10.1,27837.0,296.53,0
21080,39,Male,High School,Married,2,Contract,6.6,Other,276296.07529823115,1684.56,665,0,35788.35,25.7,5,0,91870.52,60,Medical,24.86,1.77,2.0,2688.99,1.0,,House,4.8,691.57,2048.64,0
21081,44,Female,Master,Single,0,Unemployed,3.7,Sales,77976.04,6498.0,630,0,19606.37,1.0,1,0,16691.44,60,Debt Consolidation,19.69,0.251,0.214,439.35,0.068,116977.62,None,9.1,98.26,981.65,0
21082,50,Male,Bachelor,Married,2,Salaried,4.9,Technician,20000.0,1666.67,589,1,14557.04,21.9,1,0,21226.12,48,Medical,16.59,0.728,1.061,607.99,0.365,132653.68,Apartment,,1146.9,1714.28,1
21083,55,Female,High School,Married,2,Self-Employed,6.1,Manager,39276.52,3273.04,791,3,4700.27,4.5,0,0,7695.45,36,Home Improvement,5.77,0.12,0.196,233.31,0.071,196296.72,house,5.4,7225.05,1156.13,0
21084,70,Male,Bachelor,Divorced,2,Salaried,,Professional,44669.03,3722.42,645,3,63516.84,,1,0,65168.77,24,Debt Consolidation,12.6,1.422,1.459,3086.01,0.829,119492.02,Condo,4.1,766.17,1897.3,0
21085,40,Female,Bachelor,Married,2,Unemployed,,Sales,20000.0,1666.67,711,2,32206.64,1.5,0,0,35760.32,36,Debt Consolidation,5.04,1.61,1.788,1072.41,0.643,400068.33,None,1.6,100000.0,3030.58,1
21086,21,Female,High School,Divorced,3,Self-Employed,2.9,Service,146468.41,12205.7,741,1,2862.78,14.9,0,0,7818.04,60,Other,7.03,0.02,0.053,154.92,0.013,145773.17,House,,2942.0,120.91,0
21087,37,Female,Bachelor,Divorced,1,Salaried,,Clerical,45834.38,3819.53,615,3,200000.0,1.0,0,1,29530.72,36,Debt Consolidation,20.74,2.0,0.644,1108.63,0.29,148113.07,None,6.2,1690.97,3109.34,0
21088,43,F,PhD,Married,1,Self-Employed,3.0,Service,22217.06,1851.42,714,1,46397.08,20.6,0,0,38539.24,36,Business,24.16,2.0,1.735,1515.24,0.818,204388.49,House,4.1,31507.02,152.82,0
21089,36,Female,Bachelor,Married,1,Contract,3.6,Service,95591.21,7965.93,744,0,211.09,5.0,1,0,45725.61,48,Home Improvement,9.07,0.002,0.478,1139.4,0.143,222779.18,Condo,2.8,1589.07,345.26,0
21090,56,Female,High School,Single,0,Self-Employed,0.5,Technician,55165.94,4597.16,804,2,1897.75,6.9,1,0,41267.16,12,Debt Consolidation,11.66,0.034,0.748,3659.98,0.796,66043.86,Condo,,,583.63,0
21091,29,Female,Bachelor,Single,1,Salaried,,Other,20000.0,1666.67,682,0,3576.65,3.7,0,0,12797.12,36,Education,22.86,0.179,0.64,494.44,0.297,118575.42,House,,54.02,412.72,0
21092,43,Female,High School,Single,0,Salaried,11.0,Service,20000.0,1666.67,752,1,9845.43,18.6,2,0,31067.02,48,Home Improvement,18.95,0.492,1.553,928.09,0.557,172854.24,House,7.1,,2229.06,0
21093,50,Female,Master,Married,2,Salaried,7.2,Clerical,263201.21,21933.43,759,2,4315.52,28.9,0,1,11515.91,36,Other,17.08,0.016,0.044,411.03,0.019,86083.05,Apartment,1.7,2032.82,165.21,0
21094,37,Female,High School,Single,0,Salaried,9.9,Manager,94846.7,7903.89,765,4,31575.36,1.4,1,0,7647.09,48,Home Improvement,10.4,0.333,0.081,195.42,0.025,131507.09,None,1.9,3899.21,884.45,0
21095,45,M,Master,Married,2,Self-Employed,5.8,Sales,36167.48,3013.96,650,2,14608.23,14.3,0,0,12920.14,24,Home Improvement,15.31,0.404,0.357,628.36,0.208,171457.2,House,4.3,602.88,68.23,0
21096,39,Male,Bachelor,Divorced,1,Salaried,2.7,Manager,161603.59,13466.97,645,2,19706.28,3.5,0,0,39207.32,60,Medical,23.86,0.122,0.243,1124.73,0.084,126354.22,House,1.6,12558.87,2537.13,0
21097,55,Female,Bachelor,Divorced,1,Self-Employed,2.9,Other,74928.44,6244.04,730,2,52979.38,2.9,1,1,44690.51,36,Education,22.92,0.707,0.596,1728.09,0.277,,None,0.5,64050.94,4058.42,1
21098,36,Female,Bachelor,Single,0,Salaried,1.9,Professional,97602.48,8133.54,626,4,7399.39,5.8,1,0,25004.62,36,Business,5.08,0.076,0.256,750.31,0.092,123666.04,House,14.1,1442.81,737.31,0
21099,42,Male,masters,Married,1,Salaried,22.1,Other,24903.64,2075.3,659,1,11918.43,5.4,1,0,50142.93,48,Debt Consolidation,24.27,0.479,2.0,1642.25,0.791,98319.12,Apartment,30.0,,1534.08,0
21100,21,Male,Master,Married,0,Salaried,3.8,Manager,38126.78,3177.23,695,1,34539.4,1.9,1,1,22483.97,24,Home Improvement,20.04,0.906,0.59,1144.78,0.36,225874.57,House,5.5,1029.95,7541.44,1
21101,25,M,High School,Divorced,1,Salaried,16.2,Manager,21729.74,1810.81,783,2,5265.98,10.4,0,0,21936.18,24,Business,11.17,0.242,1.01,1024.13,0.566,50000.0,House,9.6,59928.34,481.86,0
21102,61,F,masters,Married,0,Salaried,,Service,56220.7,4685.06,797,1,110590.71,1.4,0,0,14833.6,24,Business,9.98,1.967,0.264,684.36,0.146,,House,1.2,2167.76,112.37,0
21103,23,Female,High School,Married,5,Salaried,1.9,Sales,55746.13,4645.51,710,1,27409.86,11.9,1,0,42590.8,48,Education,9.85,0.492,0.764,1077.15,0.232,175365.77,None,1.2,10576.8,1173.39,0
21104,26,M,Bachelor,Single,3,Salaried,2.6,Clerical,81345.32,6778.78,582,2,30772.33,14.9,0,2,12904.9,36,Debt Consolidation,12.06,0.378,0.159,429.0,0.063,275021.35,Apartment,18.9,13444.16,339.78,0
21105,26,Male,High School,single,2,Salaried,1.5,Sales,26943.84,2245.32,688,0,806.7,4.1,0,0,11929.93,60,Medical,22.26,0.03,0.443,331.26,0.148,191130.39,None,12.7,100000.0,9865.11,0
21106,30,Female,masters,Married,4,Salaried,0.9,Sales,61045.45,5087.12,744,3,4240.24,30.0,1,0,15173.67,12,Business,12.69,0.069,0.249,1353.06,0.266,238364.37,Apartment,4.9,23314.54,78.91,0
21107,27,Female,Bachelor,Single,3,Salaried,2.8,Technician,33179.21,2764.93,552,1,3644.31,17.1,2,0,26475.69,48,Other,8.8,0.11,0.798,656.34,0.237,98460.59,Apartment,1.0,1494.59,308.82,0
21108,40,Male,High School,Single,2,Salaried,2.9,Technician,171330.37,14277.53,605,0,2400.21,,0,0,25915.21,24,Debt Consolidation,8.76,0.014,0.151,1181.08,0.083,103877.32,None,,936.42,47665.98,0
21109,31,Male,Bachelor,Single,0,Self-Employed,3.0,Professional,78543.94,6545.33,509,2,22203.49,5.5,1,1,70678.6,24,Home Improvement,18.6,0.283,0.9,3549.09,0.542,125673.93,Apartment,0.4,522.45,2300.05,0
21110,49,Female,Master,Single,1,Salaried,5.1,Sales,34291.22,2857.6,756,2,29283.41,,0,0,21083.47,36,Debt Consolidation,10.76,0.854,0.615,687.85,0.241,50000.0,Condo,19.4,,3892.51,0
21111,27,Male,High School,Married,1,Salaried,3.8,Manager,42429.68,3535.81,636,1,11272.39,17.3,0,0,36918.0,36,Business,5.17,0.266,0.87,1109.29,0.314,297214.8,House,14.2,28686.31,1292.54,0
21112,24,Female,Bachelor,Married,2,Self-Employed,1.3,Other,75229.82,6269.15,712,3,24551.12,5.0,0,1,28024.41,24,Home Improvement,12.84,0.326,0.373,1330.23,0.212,119629.61,Apartment,11.7,83.97,894.56,0
21113,44,F,Bachelor,Divorced,1,Self-Employed,4.9,Technician,75825.31,6318.78,586,2,13728.99,30.0,1,0,16913.31,36,Home Improvement,12.29,0.181,0.223,564.11,0.089,,House,,1275.97,1901.52,1
21114,35,Female,bachelor,Single,1,Salaried,2.4,Sales,21230.74,1769.23,679,1,329684.7995190274,6.1,0,0,20132.47,48,Home Improvement,6.32,0.035,0.948,475.77,0.269,92377.43,Condo,,63206.95,10904.61,0
21115,44,Male,Bachelor,Married,3,Salaried,1.6,Manager,79901.85,6658.49,727,2,1332.7,11.5,3,1,90341.91,36,Other,17.47,0.017,1.131,3242.11,0.487,50000.0,Apartment,1.6,35132.39,1274.68,0
21116,26,Female,High School,Married,0,Salaried,2.1,Manager,44527.67,3710.64,606,2,28157.38,3.7,0,0,100000.0,24,Other,7.7,0.632,2.0,4509.06,1.0,117288.22,House,4.6,85024.58,1244.44,0
21117,36,Male,High School,Married,2,Salaried,3.7,Technician,110989.31,9249.11,569,3,1387.5,16.8,1,0,222404.03767838355,12,Debt Consolidation,19.27,0.013,0.145,1480.87,0.16,307397.13,Condo,1.8,382.66,241.24,0
21118,50,Male,Master,Married,1,Salaried,1.5,Sales,68599.04,5716.59,612,0,18694.11,,0,0,28037.26,36,Debt Consolidation,14.47,0.273,0.409,964.66,0.169,71147.06,Condo,17.2,4410.59,374.06,0
21119,37,Male,High School,Married,1,Contract,3.7,Professional,37785.72,3148.81,611,4,14180.96,1.8,1,0,6660.73,36,Debt Consolidation,7.47,0.375,0.176,207.1,0.066,146992.02,House,,5571.45,50000.0,0
21120,41,Male,Master,Single,3,Salaried,,Clerical,46966.04,3913.84,483,1,919.6,10.8,1,0,27582.43,48,Home Improvement,6.81,0.02,0.587,658.07,0.168,62228.61,House,12.1,6369.04,626.74,1
21121,22,Male,Bachelor,Married,0,Contract,5.7,Technician,193749.78,16145.82,736,0,5985.67,,1,0,26981.42,24,Home Improvement,20.3,0.031,0.139,1377.2,0.085,300177.27,House,0.7,,286.24,0
21122,33,Other,Bachelor,Single,1,Self-Employed,3.6,Professional,68298.17,5691.51,740,3,40945.82,16.9,0,0,16548.86,60,Debt Consolidation,9.33,0.6,0.242,346.18,0.061,288047.31,House,6.6,2290.76,906.65,0
21123,43,Female,Bachelor,Married,1,Salaried,5.9,Sales,104370.76,8697.56,620,1,3394.23,19.0,2,0,19136.35,48,Home Improvement,17.75,0.033,0.183,559.63,0.064,118977.37,House,6.1,2349.34,1568.61,0
21124,48,Female,High School,Married,0,Salaried,1.6,Manager,20000.0,1666.67,850,1,22206.56,3.4,1,0,87080.16,24,Other,15.77,1.11,2.0,4254.15,1.0,,House,0.3,677.22,7324.65,0
21125,48,Female,Master,Single,1,Contract,19.4,Professional,47550.44,3962.54,576,4,13944.85,,0,1,29667.59,60,Debt Consolidation,13.64,0.293,0.624,684.79,0.173,451141.63,Apartment,1.7,6105.76,870.7,0
21126,24,Female,Master,Single,1,Salaried,0.0,Other,27369.22,2280.77,541,1,13116.49,1.0,0,0,18076.91,24,Business,19.24,0.479,0.66,913.34,0.4,332013.17,Condo,2.0,,722.43,1
21127,43,Female,High School,Married,1,Self-Employed,3.8,Service,50822.27,4235.19,623,5,488.94,5.5,0,0,22716.25,60,Business,24.35,0.01,0.447,658.12,0.155,200801.37,None,1.0,46595.94,1917.62,0
21128,25,F,Bachelor,Married,4,Salaried,5.5,Professional,62022.27,5168.52,683,4,4466.34,26.7,1,0,8977.31,36,Debt Consolidation,18.41,0.072,0.145,326.4,0.063,969220.62,Apartment,0.7,278.0,7834.77,0
21129,45,Female,Master,Single,1,Self-Employed,13.5,Other,45757.67,3813.14,600,1,560.7,2.7,0,0,42613.36,36,Medical,18.24,0.012,0.931,1545.71,0.405,112612.72,House,3.6,58769.59,146.85,0
21130,28,Female,High School,single,1,Self-Employed,8.8,Manager,118231.04,9852.59,605,1,92069.94,1.0,0,0,43725.14,24,Home Improvement,10.97,0.779,0.37,2037.33,0.207,223132.4,Apartment,9.9,12963.43,417.99,0
21131,32,Female,High School,Divorced,1,Salaried,2.9,Service,166943.65,13911.97,640,2,18937.15,1.0,1,0,63564.25,36,Debt Consolidation,17.78,0.113,0.381,2290.99,0.165,158450.5,House,1.8,174.02,96.86,0
21132,52,M,Master,Married,0,Salaried,1.9,Other,87912.11,7326.01,693,3,6236.92,4.9,1,1,12731.09,36,Business,7.97,0.071,0.145,398.77,0.054,334934.57,Apartment,15.6,4099.03,4700.02,0
21133,21,F,High School,Married,1,Self-Employed,5.0,Other,40504.65,3375.39,652,1,2518.3,4.4,0,0,54890.36,24,Medical,11.79,0.062,1.355,2578.5,0.764,,Apartment,0.4,,1555.4,0
21134,42,Female,PhD,Married,0,Salaried,0.9,Service,324847.86,27070.66,725,1,13221.91,6.8,0,0,12166.74,48,Business,8.85,0.041,0.037,301.9,0.011,,House,3.8,482.27,151.4,0
21135,38,Male,High School,Married,1,Salaried,0.7,Professional,20000.0,1666.67,759,1,864.74,1.6,1,0,7028.2,36,Business,7.68,0.043,0.351,219.2,0.132,148451.6,Apartment,6.2,55985.77,199.95,0
21136,25,F,High School,Single,0,Salaried,0.1,Other,90860.18,7571.68,621,1,778.72,15.6,2,0,30576.96,24,Debt Consolidation,18.58,0.009,0.337,1535.11,0.203,1000000.0,Apartment,7.9,27508.02,417.24,0
21137,32,M,High School,Single,0,Self-Employed,1.4,Manager,358870.08,29905.84,572,0,6874.4,2.0,1,0,58473.69,60,Debt Consolidation,17.76,0.019,0.163,1477.22,0.049,,House,1.8,7998.63,1141.98,0
21138,29,Female,High School,Married,1,Salaried,9.3,Sales,67594.39,5632.87,710,1,12439.26,3.1,1,0,7987.31,48,Home Improvement,15.73,0.184,0.118,225.26,0.04,67488.7,House,12.6,2774.07,4524.45,0
21139,28,Female,Bachelor,Single,1,Salaried,5.2,Other,29616.02,2468.0,805,0,6929.19,,3,0,29358.0,12,Medical,13.13,0.234,0.991,2623.97,1.0,383089.61,Condo,1.3,1169.62,3735.9,0
21140,30,Male,Bachelor,Married,1,Self-Employed,,Sales,53940.45,4495.04,676,1,7758.61,1.3,0,0,32017.11,24,Other,22.61,0.144,0.594,1670.65,0.372,244288.34,House,0.7,221.97,509.68,0
21141,32,Female,masters,Married,0,Self-Employed,0.2,Manager,48513.01,4042.75,729,1,18108.41,7.0,1,1,21029.54,48,Medical,15.63,0.373,0.433,592.01,0.146,155017.94,Apartment,0.8,50194.22,577.27,0
21142,26,Female,Master,Single,2,Unemployed,1.7,Sales,67320.01,5610.0,827,1,2012.76,,1,0,33952.6,12,Medical,16.2,0.03,0.504,3083.76,0.55,270933.27,Apartment,3.1,3585.19,834.43,1
21143,21,Female,Master,Married,2,Contract,0.5,Manager,27292.03,2274.34,777,1,58852.41,5.0,0,1,5000.0,36,Other,18.85,2.0,0.183,182.9,0.08,141794.1,Apartment,,2476.63,3845.55,1
21144,41,Female,Bachelor,Divorced,2,Salaried,5.2,Sales,113955.15,9496.26,697,1,1779.11,6.2,1,0,81453.34,24,Education,6.91,0.016,0.715,3643.55,0.384,129583.51,Condo,1.9,1837.29,806.75,0
21145,40,F,High School,Married,0,Salaried,14.1,Service,63311.84,5275.99,549,3,722.58,1.2,0,0,17803.47,36,Home Improvement,20.05,0.011,0.281,662.09,0.125,163940.72,None,,411.34,1124.77,0
21146,54,Female,Master,Married,0,Self-Employed,13.0,Other,35847.92,2987.33,709,1,99064.74,3.1,2,0,6809.46,24,Business,6.44,2.0,0.19,303.15,0.101,306532.56,House,3.5,789.02,1457.91,0
21147,40,Female,bachelor,Married,0,Salaried,5.1,Professional,185270.08,15439.17,616,3,27158.88,2.8,1,1,13546.84,24,Home Improvement,9.32,0.147,0.073,620.87,0.04,,House,26.6,331.8,1020.97,0
21148,34,Male,Bachelor,Divorced,0,Salaried,0.2,Service,28409.86,2367.49,753,0,8690.68,13.2,1,0,5000.0,24,Medical,21.81,0.306,0.176,258.92,0.109,88866.12,None,4.5,9130.8,29634.13,0
21149,24,Male,Bachelor,Single,1,Contract,,Professional,70660.62,5888.38,647,1,177806.9,8.1,1,1,14327.49,60,Debt Consolidation,12.14,2.0,0.203,319.72,0.054,390752.88,House,1.6,1964.89,10922.27,0
21150,27,F,Bachelor,Married,1,Self-Employed,0.5,Other,57967.17,4830.6,584,4,666.64,22.5,0,1,22528.29,24,Business,5.34,0.012,0.389,991.78,0.205,155603.25,House,2.5,32631.72,612.99,0
21151,45,Female,High School,Single,1,Self-Employed,2.4,Clerical,269579.03,22464.92,682,2,180.56,2.2,1,0,22084.45,60,Medical,15.68,0.001,0.082,533.3,0.024,136043.22,Apartment,11.5,2741.42,1155.62,0
21152,21,F,PhD,Married,1,Salaried,1.3,Sales,77663.93,6471.99,680,1,10009.67,1.0,1,0,57902.04,48,Other,6.86,0.129,0.746,1382.78,0.214,550611.13,house,1.9,,4047.13,0
21153,27,Male,High School,Single,2,Salaried,1.2,Professional,278136.22,23178.02,742,3,3805.9,2.6,0,1,42194.77,60,Home Improvement,13.9,0.014,0.152,979.61,0.042,79924.18,Condo,1.4,19200.13,234.48,0
21154,30,M,Bachelor,Divorced,0,Self-Employed,3.6,Clerical,29080.13,2423.34,648,2,737.63,3.2,1,0,21780.36,12,Other,21.23,0.025,0.749,2030.46,0.838,73329.53,Apartment,4.0,1331.43,514.83,0
21155,42,Female,Master,Married,1,Salaried,2.6,Service,99355.79,8279.65,731,0,526.53,3.4,1,0,9297.87,48,Business,19.62,0.005,0.094,281.06,0.034,208471.55,House,2.9,2754.59,898.35,0
21156,50,Female,Master,Married,0,Self-Employed,3.1,Sales,236140.19,19678.35,667,1,7933.78,18.4,1,0,9264.57,24,Medical,24.62,0.034,0.039,492.7,0.025,85492.96,House,2.4,415.76,978.27,0
21157,22,Male,Bachelor,single,1,Salaried,5.6,Sales,48000.32,4000.03,716,2,10415.11,23.9,0,0,13222.13,48,Home Improvement,11.18,0.217,0.275,342.89,0.086,252693.88,Condo,0.4,953.49,476.14,0
21158,26,Male,High School,Married,0,Salaried,0.2,Sales,46162.31,3846.86,802,1,200000.0,1.0,0,0,7213.72,48,Debt Consolidation,12.84,2.0,0.156,192.95,0.05,170821.5,None,7.3,1774.35,285.32,1
21159,25,M,High School,Married,1,Salaried,2.7,Manager,58749.76,4895.81,560,1,1639.57,1.0,2,2,50764.28,36,Business,14.32,0.028,0.864,1742.9,0.356,154065.08,House,4.2,3996.53,6323.35,1
21160,21,Male,Bachelor,Single,1,Self-Employed,4.1,Other,93659.74,7804.98,808,1,1296.88,1.5,2,2,41379.45,36,Business,23.57,0.014,0.442,1614.11,0.207,577979.98,house,3.7,1662.26,488.33,0
21161,48,Female,Bachelor,Married,3,Self-Employed,3.9,Clerical,372745.92,31062.16,693,1,5303.91,12.8,0,0,13142.34,24,Debt Consolidation,12.3,0.014,0.035,620.5,0.02,281230.8,Apartment,1.0,15968.18,875.37,0
21162,32,Male,Master,Married,1,Self-Employed,4.8,Sales,36106.67,3008.89,684,2,3356.01,5.5,3,0,10934.92,24,Medical,14.76,0.093,0.303,528.95,0.176,563602.64,house,9.5,8607.95,231.17,0
21163,28,Male,Bachelor,Single,5,Unemployed,0.0,Other,20000.0,1666.67,740,3,7831.5,7.6,3,0,7498.28,24,Home Improvement,24.51,0.392,0.375,398.35,0.239,82799.12,None,7.5,5584.46,574.02,0
21164,24,Female,Bachelor,Married,0,Salaried,8.3,Other,42063.31,3505.28,690,2,200000.0,1.2,3,0,5932.94,24,Home Improvement,6.82,2.0,0.141,265.15,0.076,329204.88,House,30.0,39870.7,1333.8,0
21165,21,Female,Bachelor,Divorced,1,Self-Employed,2.6,Clerical,150292.86,12524.4,743,2,8657.65,7.5,0,1,9605.1,60,Other,14.31,0.058,0.064,225.04,0.018,58332.31,Apartment,8.7,62.54,5042.68,0
21166,51,Male,Bachelor,Divorced,0,Contract,2.1,Professional,78270.03,6522.5,727,1,3468.77,1.0,2,1,32127.08,36,Debt Consolidation,15.26,0.044,0.41,1117.79,0.171,125990.77,Condo,6.7,1431.68,4132.26,1
21167,28,Male,Bachelor,Single,2,Salaried,2.7,Sales,35117.37,2926.45,637,1,3196.03,12.9,1,0,13856.58,24,Home Improvement,13.41,0.091,0.395,661.44,0.226,65791.19,House,3.5,20239.01,3106.25,0
21168,26,Male,Bachelor,Divorced,1,Self-Employed,2.0,Technician,69947.28,5828.94,782,2,1886.52,,0,0,23903.92,36,Medical,17.82,0.027,0.342,862.03,0.148,,Apartment,,32770.53,402.83,0
21169,25,F,High School,Married,1,Unemployed,2.4,Manager,30573.83,2547.82,637,2,7190.05,,0,0,8967.58,24,Home Improvement,12.93,0.235,0.293,426.04,0.167,281349.98,House,21.1,100000.0,399.19,0
21170,21,M,Master,Married,2,Contract,,Clerical,244838.67,20403.22,759,1,25363.17,1.0,3,1,5000.0,36,Debt Consolidation,17.16,0.104,0.02,178.66,0.009,,Condo,1.3,581.05,8189.67,0
21171,32,Male,Master,Divorced,1,Salaried,10.0,Technician,58882.6,4906.88,591,2,257637.64505407034,4.3,2,0,11221.99,48,Debt Consolidation,15.76,0.484,0.191,316.66,0.065,,Apartment,2.1,8344.88,669.9,0
21172,56,Male,Bachelor,Single,2,Contract,8.4,Technician,40292.35,3357.7,698,1,12811.43,1.5,1,2,88626.48,48,Business,22.5,0.318,2.0,2816.39,0.839,143932.74,House,2.4,250.01,743.04,1
21173,41,Male,Bachelor,Married,2,Salaried,8.2,Clerical,20000.0,1666.67,720,1,44564.7,10.5,1,0,16739.5,36,Education,14.67,2.0,0.837,577.58,0.347,118286.7,None,0.6,69.87,17.97,1
21174,42,Female,Bachelor,Married,1,Self-Employed,3.4,Professional,36143.39,3011.95,594,1,4968.97,9.3,1,0,58585.51,12,Other,15.53,0.137,1.621,5302.49,1.0,188217.45,Apartment,7.5,20874.89,600.57,0
21175,26,Male,High School,Married,0,Salaried,0.6,Manager,103180.42,8598.37,723,4,28189.73,1.6,0,0,12147.5,48,Business,15.39,0.273,0.118,340.48,0.04,113905.25,None,6.8,3160.29,8665.45,0
21176,36,M,Bachelor,Single,1,Self-Employed,,Other,38351.7,3195.98,699,2,6531.1,1.9,0,0,9252.71,12,Debt Consolidation,16.26,0.17,0.241,840.65,0.263,,Condo,13.5,1867.31,197.32,0
21177,21,Male,Bachelor,Married,3,Salaried,5.0,Other,59424.0,4952.0,572,3,14321.26,5.4,0,0,28999.32,48,Education,16.35,0.241,0.488,827.06,0.167,100368.19,Condo,2.4,1655.62,1823.23,1
21178,41,Male,Bachelor,Married,2,Self-Employed,0.9,Sales,60693.88,5057.82,574,0,789.26,23.0,1,0,56181.56,36,Debt Consolidation,16.71,0.013,0.926,1994.93,0.394,92043.56,House,3.2,443.5,2164.68,0
21179,37,Male,Master,Single,2,Self-Employed,,Clerical,95321.41,7943.45,687,2,29749.95,7.9,2,2,35083.02,60,Debt Consolidation,14.4,0.312,0.368,823.61,0.104,127245.65,None,1.5,49928.13,214.72,1
21180,24,Male,High School,Married,1,Salaried,4.4,Professional,20000.0,1666.67,683,1,12602.73,4.9,1,0,20149.89,48,Other,20.19,0.63,1.007,615.21,0.369,59412.28,House,11.6,1534.32,475.94,0
21181,47,M,Bachelor,Married,3,Salaried,5.7,Other,171421.9,14285.16,621,2,47810.05,,0,0,11698.09,48,Debt Consolidation,24.85,0.279,0.068,386.9,0.027,349872.88,House,7.1,,729.64,0
21182,29,Female,Bachelor,Married,1,Salaried,1.4,Technician,20000.0,1666.67,620,3,12838.94,8.8,1,0,39997.53,60,Home Improvement,12.18,0.642,2.0,893.37,0.536,196548.44,House,28.6,6461.15,686.07,0
21183,35,Female,Master,Divorced,2,Salaried,2.0,Professional,56346.77,4695.56,802,2,20460.56,5.8,2,0,29210.82,36,Home Improvement,11.93,0.363,0.518,969.24,0.206,253331.4,House,1.0,18785.75,36.78,0
21184,36,M,masters,Married,0,Self-Employed,4.3,Other,176387.05,14698.92,840,0,10326.89,1.0,1,0,23432.75,36,Medical,18.0,0.059,0.133,847.15,0.058,132283.1,None,6.0,818.05,3264.37,0
21185,51,Female,Bachelor,Married,1,Self-Employed,,Professional,101186.95,8432.25,694,1,608.02,19.2,4,0,33836.27,36,Education,23.57,0.006,0.334,1319.87,0.157,215963.2,Apartment,7.7,13122.61,2471.43,0
21186,56,Other,Master,Single,0,Salaried,0.6,Manager,234955.04,19579.59,552,1,2671.53,19.3,0,0,61131.8,48,Business,8.35,0.011,0.26,1502.47,0.077,145000.32,House,9.5,1070.38,2960.57,1
21187,42,Male,Bachelor,Married,2,Salaried,0.3,Professional,53059.35,4421.61,750,3,8332.77,3.6,0,0,36037.46,36,Other,8.96,0.157,0.679,1145.31,0.259,117523.58,House,,,1554.87,0
21188,27,Female,High School,Married,0,Self-Employed,0.8,Manager,25474.76,2122.9,729,0,344232.87762893,7.2,0,1,7719.56,24,Home Improvement,6.47,0.573,0.303,343.77,0.162,91046.02,Condo,2.5,590.53,3826.99,0
21189,23,Other,High School,Single,0,Salaried,4.8,Sales,41057.12,3421.43,771,1,13533.63,12.7,3,1,13647.63,24,Debt Consolidation,20.71,0.33,0.332,699.35,0.204,1000000.0,Apartment,0.4,999.06,2850.43,0
